shift_type,relative_time,error_primary_mean,error_reference_mean,error_gap_mean,disturbance_pred_error_mean,gain_mean,uncertainty_mean,delay_error_mean
disturbance_burst,-1.5,0.016203535404584274,0.017414654976068693,-0.001211119571484419,0.001969929104452287,0.9816187913008791,0.13364359473720294,0.047803114839692185
disturbance_burst,-1.45,0.016065531523261838,0.017229069074716913,-0.0011635375514550753,0.001919088385616412,0.9811931901568803,0.13316337679240556,0.04951740881042156
disturbance_burst,-1.4,0.01590866878061003,0.017003136468063312,-0.0010944676874532835,0.001767404325502521,0.9805445487635154,0.13386725131847785,0.05115062510312178
disturbance_burst,-1.3499999999999999,0.015772666945501577,0.016783665839186168,-0.0010109988936845907,0.0016140680200876097,0.9796348386925618,0.13455643942573348,0.05525718949351267
disturbance_burst,-1.2999999999999998,0.015648738897862124,0.01656615202083083,-0.000917413122968707,0.001604631412966593,0.9777777709967754,0.134830984848762,0.05930126786339411
disturbance_burst,-1.2499999999999998,0.0155206770998986,0.016357220581391597,-0.0008365434814929969,0.0015496622195860768,0.9760345282697169,0.13568794984267893,0.06076951495797576
disturbance_burst,-1.1999999999999997,0.015467350173196217,0.01618169836249634,-0.0007143481893001225,0.0014496677979513744,0.9745646762714862,0.13791820466278804,0.056836786087576384
disturbance_burst,-1.1499999999999997,0.015619311385458145,0.016000767935884567,-0.00038145655042642196,0.0015652466180863266,0.971903717711195,0.14427396093418712,0.053254026020355394
disturbance_burst,-1.0999999999999996,0.01594874560081088,0.01583562587277512,0.00011311972803576195,0.0016023917688653116,0.9705970428031611,0.15030581087541728,0.05014188534327655
disturbance_burst,-1.0499999999999996,0.01627312731978579,0.015690221120127506,0.000582906199658284,0.0014445496433960112,0.9699987778151626,0.15325392259925863,0.04608774726820779
disturbance_burst,-0.9999999999999996,0.01662433727636526,0.015562952805195587,0.001061384471169673,0.0014550778394390434,0.9692470797662894,0.1551703454665233,0.04206762234253896
disturbance_burst,-0.9499999999999995,0.016987264773250722,0.015451377367288691,0.001535887405962031,0.0015354865594403731,0.9686233781040032,0.1566365909181729,0.03939253877811481
disturbance_burst,-0.8999999999999995,0.017349613213546732,0.015435415494304702,0.00191419771924203,0.0015807021899734643,0.964079456209323,0.16236139632810545,0.040338127895252866
disturbance_burst,-0.8499999999999994,0.017682771732286554,0.015536248939902894,0.00214652279238366,0.0016034245622148248,0.9622406125558435,0.1645465685557456,0.03909951410093222
disturbance_burst,-0.7999999999999994,0.017981948776165782,0.015836615163980734,0.0021453336121850484,0.0016826241979426525,0.9613278366864024,0.1653543282039214,0.038201840979236644
disturbance_burst,-0.7499999999999993,0.01822076029069507,0.016225747258437992,0.0019950130322570793,0.0019918189405476183,0.9623887813672092,0.16458681446789114,0.035816852876227843
disturbance_burst,-0.6999999999999993,0.01841626455204835,0.016580869994519423,0.0018353945575289264,0.0022975693845927415,0.9639169724727132,0.16267578150279813,0.033255803683024075
disturbance_burst,-0.6499999999999992,0.018576466983318326,0.01686124863288035,0.0017152183504379748,0.002471333729873969,0.9662266229900311,0.159309165201997,0.030157598717292827
disturbance_burst,-0.5999999999999992,0.018700487133410926,0.01709010347653932,0.0016103836568716057,0.0024778623555678507,0.9674021294312898,0.15872350721958,0.027684874873162152
disturbance_burst,-0.5499999999999992,0.018753146541199698,0.01723970080412448,0.001513445737075219,0.0023373979707672,0.9684359713663172,0.15674916327980745,0.025374209695624112
disturbance_burst,-0.4999999999999991,0.018735913160641573,0.01733631209530796,0.0013996010653336138,0.0022183634332739325,0.9684218079568648,0.15612820886262943,0.024531379273033713
disturbance_burst,-0.44999999999999907,0.018638994355694667,0.01735206210347065,0.001286932252224017,0.0021800966465200466,0.9669236850676555,0.15862068102335186,0.02738391393712797
disturbance_burst,-0.399999999999999,0.01847216091768351,0.017273785786479295,0.0011983751312042157,0.0019899924577995104,0.9641183877058053,0.16304863292468,0.032408551494944565
disturbance_burst,-0.349999999999999,0.018257837108960458,0.017112912112197284,0.001144924996763174,0.0019247497741187488,0.963457424732006,0.16571979658940816,0.03739573926301274
disturbance_burst,-0.29999999999999893,0.017998856952739957,0.016871211355490766,0.0011276455972491911,0.0018506818911758424,0.9629191636235109,0.16664796327845033,0.048282898425031036
disturbance_burst,-0.2499999999999989,0.01770396469305156,0.01656417655478087,0.0011397881382706893,0.001761110117102061,0.9611242535126531,0.16833294972353477,0.05983457361109218
disturbance_burst,-0.19999999999999885,0.01739842309492573,0.01621705165130784,0.0011813714436178895,0.0016714845180973656,0.9574857770173842,0.17267288017470053,0.06715458348872574
disturbance_burst,-0.1499999999999988,0.017107521012222193,0.015848410130991065,0.001259110881231127,0.001674979717055328,0.9513379265551226,0.1804279379895955,0.07387901253100199
disturbance_burst,-0.09999999999999876,0.01684644965731407,0.015480253688396492,0.0013661959689175787,0.0017465051321177865,0.944836897856635,0.18777907078146647,0.08373904462472473
disturbance_burst,-0.04999999999999871,0.016634618473972233,0.015138207920431319,0.0014964105535409146,0.002093035275015015,0.9420339779078193,0.20280968964211238,0.09221849118900291
disturbance_burst,1.3322676295501878e-15,0.016420599683254263,0.014784412475049325,0.0016361872082049384,1.2334573589516693,0.9110289574565001,0.32073748353422127,0.09050748202909492
disturbance_burst,0.05000000000000138,0.017510608560881612,0.01596386289937825,0.0015467456615033612,2.451752273092964,0.8762708386862874,0.5186826199754443,0.08529091192271376
disturbance_burst,0.10000000000000142,0.022358533775163773,0.02058138451736792,0.0017771492577958528,2.127438476252755,0.8517082720231046,0.6805402136521219,0.07904624558216204
disturbance_burst,0.15000000000000147,0.031995223485850405,0.029477255035870058,0.002517968449980347,1.757812850783118,0.8487202426461398,0.6382350582540057,0.07366156205866539
disturbance_burst,0.2000000000000015,0.0461676182221898,0.04220089619999996,0.003966722022189839,1.4906910473003412,0.8468420433395547,0.5719006017624451,0.06822360324418039
disturbance_burst,0.25000000000000155,0.06374928612985524,0.05776314897305599,0.00598613715679925,1.3278697029021225,0.8456501179897902,0.5138723296817129,0.060516655970041536
disturbance_burst,0.3000000000000016,0.08339667411521746,0.07483340822081933,0.00856326589439814,1.239623429102549,0.8447221924229946,0.4629835435146578,0.04872423380446219
disturbance_burst,0.35000000000000164,0.10420048294481359,0.0926220485413251,0.011578434403488491,1.215302346336535,0.8449824762803703,0.4244051830125115,0.03887019234737266
disturbance_burst,0.4000000000000017,0.1258117364937682,0.11102052005822456,0.014791216435543639,1.2651136280546509,0.8470993619394906,0.4042869556921775,0.030711275103925167
disturbance_burst,0.45000000000000173,0.14774301232772627,0.12976382115197244,0.017979191175753834,1.3565896460812374,0.8526632477584528,0.3928026607318408,0.024097212962259203
disturbance_burst,0.5000000000000018,0.16986954801608625,0.14893125542873817,0.020938292587348084,1.4496439758254636,0.8541820466917993,0.3890840169115533,0.01884890572289726
disturbance_burst,0.5500000000000016,0.19218286161032985,0.16863366384731038,0.023549197763019475,1.5190488717203119,0.8542368598913296,0.3856784178764786,0.014304873001213688
disturbance_burst,0.6000000000000019,0.21460555483786573,0.18875260224712234,0.025852952590743383,1.5741495636832592,0.8544593731144801,0.3726494500651219,0.010297759803045068
disturbance_burst,0.6500000000000021,0.23703775774066455,0.209005236384486,0.028032521356178536,1.5745417880107841,0.8515008311992766,0.36085597676393,0.007229016987422088
disturbance_burst,0.700000000000002,0.25928996918611286,0.22895457617989262,0.030335393006220235,1.5389248567364522,0.8501858723906391,0.35140166475993845,0.00486644769102168
disturbance_burst,0.7500000000000018,0.2811490342279178,0.24816762658754152,0.0329814076403763,1.4676337514690794,0.8511378893474723,0.3390155222305905,0.0030533396188013153
disturbance_burst,0.800000000000002,0.30218311381450413,0.26615452162243153,0.036028592192072606,1.380671871848447,0.8536855238849359,0.33132671310666423,0.0017708394704036554
disturbance_burst,0.8500000000000023,0.32200321296911605,0.2826439688236829,0.039359244145433125,1.32941302431721,0.8570349414228238,0.3194325662795267,0.000977886983497474
disturbance_burst,0.9000000000000021,0.3403457582800279,0.2975424352115419,0.042803323068486,1.3075539338611857,0.8596995696268419,0.3122490991985811,0.0001281105304974218
disturbance_burst,0.950000000000002,0.35718957627087994,0.31104796582497996,0.04614161044589998,1.3338107349051729,0.8665740946673515,0.30456192675498117,-0.0002659645986303716
disturbance_burst,1.0000000000000022,0.3725861996924937,0.32323721488668844,0.04934898480580524,1.3701881690156974,0.8754647112956869,0.29118679938491765,-0.0005703055685047304
disturbance_burst,1.0500000000000025,0.38658823826064237,0.3342136347480045,0.052374603512637896,1.4112933962385745,0.8863025664732472,0.27293537029741993,-0.000989878208767475
disturbance_burst,1.1000000000000023,0.3990885547092601,0.34392581617164236,0.05516273853761772,1.4458610768638642,0.8977115796036683,0.25683489538854165,-0.0016260477455762924
disturbance_burst,1.1500000000000021,0.409987332611997,0.35226874950783266,0.057718583104164334,1.4601088564369298,0.9028091814973148,0.251899576102387,-0.0022398102107053157
disturbance_burst,1.2000000000000024,0.41924432273427054,0.3592006083323055,0.06004371440196504,1.413166844644548,0.9060220749715541,0.24418193939067834,-0.0026605389788077576
disturbance_burst,1.2500000000000027,0.42678720669233405,0.3646396983229384,0.06214750836939564,1.3457676070322442,0.9071621457760294,0.24027976407560278,-0.002854063171131048
disturbance_burst,1.3000000000000025,0.43250810883356205,0.3684484498940364,0.06405965893952564,1.297285567834661,0.9059620546997966,0.24024877291995778,-0.003219597320767608
disturbance_burst,1.3500000000000023,0.43639294397082457,0.3706009394844344,0.06579200448639017,1.2435326117026826,0.9033723143961465,0.24617262424588163,-0.0029196063608646116
disturbance_burst,1.4000000000000026,0.4385971235099639,0.3712577714896269,0.06733935202033697,1.1947844176404483,0.8996011647427657,0.2501902981164903,-0.002619348975273891
disturbance_burst,1.4500000000000028,0.43941490484029433,0.37078043881872697,0.06863446602156736,1.1971663624639919,0.9024114730491501,0.2450280633617572,-0.002890757763306584
disturbance_burst,1.5000000000000027,0.438783777991617,0.3691828618638702,0.06960091612774677,1.1613914318486074,0.904670555088624,0.2416860004301701,-0.0031013544869679137
disturbance_burst,1.5500000000000025,0.4367135256906991,0.3665171139121389,0.07019641177856017,1.143512252814508,0.9092606750548337,0.23720366306876098,-0.0033694470634815696
disturbance_burst,1.6000000000000028,0.433263770801552,0.36288512294841746,0.07037864785313452,1.1354182747723114,0.9109719884144887,0.23726701573596146,-0.0029770416820542977
disturbance_burst,1.650000000000003,0.42843227936404266,0.358302777674013,0.07012950169002968,1.1435841768453812,0.9155144399456221,0.23237651679668456,-0.0028056510438201226
disturbance_burst,1.7000000000000028,0.42248833877015957,0.3530243414510889,0.06946399731907066,1.1117104153773976,0.9144677806608528,0.23369996517679875,-0.002591075309164948
disturbance_burst,1.7500000000000027,0.41576532150251105,0.34726049671789555,0.0685048247846155,1.097461624248257,0.911096198704875,0.236194295526771,-0.0026982075120086948
disturbance_burst,1.800000000000003,0.4084133051193465,0.3410660454987993,0.06734725962054716,1.0912234189660928,0.9036428363361498,0.2463387048340854,-0.0023135578040587986
disturbance_burst,1.8500000000000032,0.40080907453037107,0.3346626392460978,0.06614643528427328,1.0784299039572147,0.8989291229413219,0.25391001119105006,-0.001923795467271612
disturbance_burst,1.900000000000003,0.3932258583687917,0.3281814064723255,0.06504445189646618,0.9922259697944273,0.9013035362686395,0.25482359235310337,-0.001783591162483955
disturbance_burst,1.9500000000000028,0.385958779386408,0.3218359659283392,0.0641228134580688,0.9314406444025429,0.903223778838726,0.2504468421860685,-0.0014575954975918422
disturbance_burst,2.000000000000003,0.37905559880515216,0.3157643210706035,0.06329127773454868,0.8313026414627499,0.9074267618548515,0.24526603389349103,-0.0011152179820193347
disturbance_burst,2.0500000000000034,0.3722903459736219,0.30988658729026863,0.06240375868335324,0.7970391614180399,0.9089860547581392,0.2460695055598381,-0.0007085709833053774
disturbance_burst,2.100000000000003,0.3655685486067785,0.3042817858437986,0.061286762762979896,0.7108473596431812,0.9073777583033671,0.24828400756480962,-0.00014795483703261312
disturbance_burst,2.150000000000003,0.35885870569143263,0.29899049093968316,0.05986821475174947,0.6375057511879596,0.911652327661359,0.2401835715564753,0.00031784791881824545
disturbance_burst,2.2000000000000033,0.3522183561826006,0.29409216142050426,0.05812619476209635,0.560528269485731,0.913181260209625,0.2358944521500803,0.0010373605842418636
disturbance_burst,2.2500000000000036,0.3455433012148611,0.2894344190417632,0.056108882173097896,0.4743382667019132,0.9168334779658986,0.22780712518944676,0.0016560195590156145
disturbance_burst,2.3000000000000034,0.33874664475615907,0.2848523361239644,0.05389430863219469,0.4372213783327809,0.9223177804143043,0.21430279123340523,0.0019463734044364981
disturbance_burst,2.350000000000003,0.331759754054025,0.2802141249972344,0.05154562905679061,0.4077769247703357,0.9265587361548203,0.20423401522142912,0.002065326827627642
disturbance_burst,2.4000000000000035,0.32461812211749524,0.2754919195331339,0.049126202584361345,0.38302521782900933,0.9305275036145255,0.19824871276406197,0.002138690497002655
disturbance_burst,2.4500000000000037,0.3174316280539705,0.27073976142083866,0.04669186663313185,0.3779602198786566,0.9346528329514454,0.19056181661898167,0.002068950402812907
disturbance_burst,2.5000000000000036,0.31033761292038686,0.2660545025647167,0.044283110355670174,0.36767020976080744,0.9371601729104665,0.1857179293037618,0.0017764801137419787
disturbance_burst,2.5500000000000034,0.30330048297876144,0.26136231571014057,0.041938167268620874,0.3212972121996468,0.9381625955681263,0.18247793853214647,0.0016165887716374095
disturbance_burst,2.600000000000003,0.2961044547353424,0.25647583336296104,0.03962862137238138,0.35621190847868495,0.9399455181601682,0.17730293282349446,0.00124651198682351
disturbance_burst,2.650000000000004,0.2882863745018673,0.25090754207548827,0.037378832426379016,0.3426411005286633,0.9432170224230996,0.16992850844387994,0.0006746189222480622
disturbance_burst,2.7000000000000037,0.2797827144971632,0.24462353303711648,0.03515918146004671,0.2836526442557664,0.9494230273904594,0.15820814315548676,-4.110453519901563e-05
disturbance_burst,2.7500000000000036,0.2706444459655344,0.23770545525667625,0.03293899070885814,0.20690508589741535,0.958119288602334,0.14672024199705389,-0.000926892455939528
disturbance_burst,2.8000000000000043,0.2609650391266677,0.23028128443410165,0.03068375469256604,0.14814455854249758,0.9670621736036267,0.13457754769305913,-0.0018632632599572575
disturbance_burst,2.850000000000004,0.2508501934263735,0.2224892273755529,0.028360966050820585,0.10641065171741179,0.9747278880735859,0.12388950992985963,-0.0027604721414875447
disturbance_burst,2.900000000000004,0.24040317491948549,0.2144629337261809,0.025940241193304597,0.07677591572259183,0.9805021757290234,0.11597809788759827,-0.003540153175040966
disturbance_burst,2.9500000000000037,0.22975301544158774,0.2063086547272431,0.023444360714344636,0.055485308570582946,0.984765781477198,0.110196130787062,-0.004134965158344641
disturbance_burst,3.0000000000000036,0.21912258797996514,0.19811599127421378,0.021006596705751363,0.0401613366661429,0.9880090642990627,0.10560658048816944,-0.004610283186543093
disturbance_burst,3.0500000000000043,0.20885256671516722,0.18997034197178586,0.01888222474338136,0.029145821400075395,0.9905852081835343,0.10176173761960064,-0.005027389270265732
disturbance_burst,3.100000000000004,0.19911793143000822,0.18189640233578996,0.017221529094218258,0.021201312109921985,0.9924856198571312,0.09894796585404471,-0.005325660716542992
disturbance_burst,3.150000000000004,0.18975424594432372,0.17390635116203118,0.015847894782292538,0.015506786380872032,0.9939416759756201,0.09709994203814479,-0.005564764541950193
disturbance_burst,3.2000000000000046,0.1806221917939036,0.1660207378437355,0.014601453950168097,0.011393026606194052,0.9951164658927683,0.09588766347429808,-0.005706929778274291
disturbance_burst,3.2500000000000044,0.1717175096340734,0.15827504952872884,0.013442460105344556,0.008404139362390841,0.9960553262103012,0.09484853506935045,-0.005874083911710742
disturbance_burst,3.3000000000000043,0.16305817064640413,0.15068934782666063,0.012368822819743497,0.006266378622753269,0.9968101536907719,0.09437628815730041,-0.0060151779661939695
disturbance_burst,3.350000000000004,0.1546754175053927,0.1432936787763101,0.011381738729082602,0.004714575932467194,0.997388222409058,0.09442806466973722,-0.006143785741601191
disturbance_burst,3.400000000000004,0.14661416460014576,0.1361169693268662,0.010497195273279553,0.0035607320439087153,0.9977396917530111,0.09472228092977396,-0.0062385488588397086
disturbance_burst,3.4500000000000046,0.13886901865155027,0.12914735168822142,0.009721666963328851,0.0027593289852502053,0.9980410078041404,0.09450065629684264,-0.006446276583753884
disturbance_burst,3.5000000000000044,0.13142122353800775,0.12235763294493343,0.009063590593074322,0.0022973945387396036,0.9983179003956723,0.09426563950560027,-0.006714785921182083
disturbance_burst,3.5500000000000043,0.12426344292264471,0.11574159177785356,0.008521851144791148,0.0021044015370887533,0.9984048739255039,0.09490248122576003,-0.00693980591253885
disturbance_burst,3.600000000000005,0.11745272704928642,0.10935263322603991,0.008100093823246501,0.0020453721079342437,0.9984659403394017,0.09516796247802009,-0.007136629647470761
disturbance_burst,3.650000000000005,0.11098166100673965,0.10318533875513383,0.007796322251605814,0.0020355574699691737,0.9985637267934798,0.09495531993814074,-0.0073119024316179535
disturbance_burst,3.7000000000000046,0.10482986794370674,0.09723401950990036,0.007595848433806382,0.0020231629486752822,0.9983380922084274,0.09492281413580317,-0.007252939781923542
disturbance_burst,3.7500000000000044,0.09896658821941397,0.09146974976176375,0.007496838457650215,0.0019921454922389573,0.9977302748303758,0.09597482357716007,-0.007007773073801858
disturbance_burst,3.8000000000000043,0.09346912829701368,0.08597333967594055,0.007495788621073127,0.0020713528389448444,0.9970293406433368,0.09763715627957116,-0.00657896694284304
disturbance_burst,3.850000000000005,0.08833623094461142,0.08075850710722769,0.007577723837383726,0.0022662172144734026,0.9963794316804062,0.09914448605111591,-0.005871881934993368
disturbance_burst,3.900000000000005,0.08355710405164375,0.0758331137547649,0.007723990296878855,0.002245816068047519,0.9963285957877966,0.09951001326547623,-0.005518789813476576
disturbance_burst,3.9500000000000046,0.07915462076142651,0.071245149070705,0.007909471690721509,0.0021770607827061098,0.9959979569325628,0.0999292937908866,-0.004954529358870195
disturbance_burst,4.000000000000005,0.07557000074347953,0.06744624940307295,0.008123751340406576,0.0020721077744400547,0.9956743642255639,0.10064400945108912,-0.00432096051330204
disturbance_burst,4.050000000000005,0.07323902025256188,0.06489613996576196,0.008342880286799914,0.0020572446377782046,0.9954469057667957,0.1007573636310318,-0.0037014748046530687
disturbance_burst,4.100000000000005,0.07116826471444579,0.06268852750730977,0.008479737207136018,0.002041180434132832,0.995232662482526,0.10098369618645138,-0.003106897907093378
disturbance_burst,4.150000000000005,0.06936239513199867,0.06084639245633239,0.008516002675666282,0.001989974624679409,0.995132873758652,0.10084139899047426,-0.002619996501775137
disturbance_burst,4.200000000000005,0.0678536301570484,0.05938204386152644,0.008471586295521957,0.0018709060805437495,0.9950485492055613,0.10058437980196629,-0.0021802402585963717
disturbance_burst,4.250000000000005,0.0667174215786267,0.05825359081427708,0.008463830764349624,0.001764698717004813,0.9951066230340905,0.09966836675620366,-0.0018162760508904949
disturbance_burst,4.300000000000005,0.06597931044000102,0.05735306607089278,0.008626244369108242,0.0017496534588874527,0.9952644871123761,0.09892061621526652,-0.001549503513594196
disturbance_burst,4.350000000000005,0.06563909920204206,0.056717392279950915,0.008921706922091141,0.0017512703134949519,0.9954524590548516,0.09838769273227496,-0.001279630466012922
disturbance_burst,4.400000000000006,0.06553753317291719,0.05628836556860313,0.00924916760431406,0.001737488727951019,0.9955290421805074,0.09773767819155318,-0.001067975084211805
disturbance_burst,4.4500000000000055,0.06541649260224601,0.05587167061678847,0.009544821985457537,0.0016832813701419987,0.9956646711353596,0.09706796444362792,-0.000904716278903077
disturbance_burst,4.500000000000005,0.06522300899271755,0.05543420515503823,0.009788803837679314,0.0016691863920390716,0.9958703958961728,0.09640982627318531,-0.0008821254737122182
disturbance_burst,4.550000000000005,0.0649542716947434,0.054976309917656827,0.00997796177708657,0.0016525854306979047,0.9960405863892294,0.09624031332505834,-0.0007811392398000185
disturbance_burst,4.600000000000005,0.06458163871593228,0.054470762458669476,0.010110876257262806,0.0016678931964834263,0.9961129415894611,0.09633607548721118,-0.0006985940055200708
disturbance_burst,4.650000000000006,0.06409575452733775,0.05389624648506495,0.0101995080422728,0.001667486001479848,0.9960360643034865,0.0967244258463458,-0.000655119979717929
disturbance_burst,4.7000000000000055,0.06348412514303092,0.053238834576714446,0.010245290566316477,0.0016126339930338449,0.9960892177690305,0.09706432063459564,-0.0007561374399485367
disturbance_burst,4.750000000000005,0.0627641581298601,0.05251697947418641,0.010247178655673685,0.0016128033559654254,0.9960362571681388,0.09733806277748605,-0.0008534499092200321
disturbance_burst,4.800000000000006,0.06191984842448837,0.05170762278947668,0.010212225635011687,0.0016376154145858793,0.9959340788713925,0.09767735376815921,-0.0007490982084895537
disturbance_burst,4.850000000000006,0.06098410099766225,0.05083862236155173,0.010145478636110518,0.001616305281307959,0.9958376781089454,0.09818968451840367,-0.0007738902056873091
disturbance_burst,4.900000000000006,0.059952308437874954,0.04990213574222691,0.010050172695648042,0.0015302787812105372,0.9958181634953809,0.09863785094386983,-0.0008606210088329414
disturbance_burst,4.9500000000000055,0.05884303338012844,0.0489162647820673,0.009926768598061138,0.001461484960050433,0.9959543017112862,0.09853763016762898,-0.0008171928936313513
disturbance_burst,5.000000000000005,0.05766598076587233,0.04788941540824149,0.009776565357630843,0.0013925900963471477,0.9960768111666638,0.09843656881625344,-0.0006815966883304593
disturbance_burst,5.050000000000006,0.056397549983497976,0.04679060155992567,0.009606948423572306,0.0013239869784015042,0.9962584659833166,0.09847155198980885,-0.0004956477908235845
disturbance_burst,5.100000000000006,0.05504678920097685,0.04562694905663515,0.009419840144341704,0.0012770230465321449,0.9959935378083147,0.09890529568476272,-0.00014837974140128086
disturbance_burst,5.150000000000006,0.053662176079312784,0.04444650180764921,0.009215674271663574,0.0012945276102031779,0.9956375764991737,0.09932945898367058,0.00013153391346560107
disturbance_burst,5.200000000000006,0.05228582892758511,0.04327809827354974,0.009007730654035373,0.001361429982188884,0.9955375081192811,0.09914344724461027,0.00010043223968361734
disturbance_burst,5.250000000000006,0.05102403815733882,0.04221462777608806,0.008809410381250764,0.0014132508192277924,0.9949133843313254,0.09966257676878518,0.00027825264399755823
disturbance_burst,5.300000000000006,0.049745658308661546,0.041132348819974615,0.00861330948868693,0.001410438067920115,0.9944638441474556,0.10033525248120831,0.0005211830428754977
disturbance_burst,5.350000000000006,0.04847620684929411,0.04005675050228817,0.008419456347005937,0.0013872594340329618,0.9938929383868128,0.10141914548394286,0.0006574229371588685
disturbance_burst,5.400000000000006,0.04722716857510474,0.038998311739358055,0.008228856835746687,0.0014152038126332355,0.9935778048869031,0.10210735965301496,0.0008323378572813068
disturbance_burst,5.450000000000006,0.04601711222065116,0.037983392991690214,0.008033719228960949,0.0015191209278899273,0.9927513719788921,0.10357468903569127,0.0011149099389953724
disturbance_burst,5.500000000000006,0.04485274264051201,0.03701725350893199,0.007835489131580026,0.001605945063174018,0.9911969295708166,0.10596524228455659,0.0015987935507821307
disturbance_burst,5.550000000000006,0.043749996072106355,0.03612064199269089,0.007629354079415465,0.001574676634601169,0.9890422084527574,0.10915219743403233,0.0021781689272119026
disturbance_burst,5.600000000000007,0.04270421844769107,0.03528897427612349,0.007415244171567574,0.0015001342768968552,0.9859692389782525,0.11354332865309769,0.0033288209471530766
disturbance_burst,5.650000000000007,0.04172969128760892,0.03453015965186647,0.007199531635742454,0.0014362237591262707,0.9832032217506654,0.11759832366177844,0.003947873214403608
disturbance_burst,5.700000000000006,0.040983675430258805,0.03395814925174658,0.007025526178512223,0.0014361880911490225,0.9809091792551465,0.12097755453209694,0.004690600743913182
disturbance_burst,5.750000000000006,0.04035544983681598,0.033484603699072975,0.006870846137743004,0.001471712920680351,0.9791663538513401,0.1235609111492643,0.005769913807419802
disturbance_burst,5.800000000000006,0.03976280731241869,0.03304770519188992,0.006715102120528775,0.001526692310670344,0.9782379740447211,0.12481505955012791,0.0074572039930422065
disturbance_burst,5.850000000000007,0.03923716584789379,0.03265988305199434,0.006577282795899447,0.001556653644766068,0.9777236158982768,0.1255454973419782,0.010012060071432877
disturbance_burst,5.900000000000007,0.038772987844141904,0.03230079092023169,0.006472196923910212,0.001573051731992712,0.9771185055857641,0.12638125756466828,0.013990839967836222
disturbance_burst,5.950000000000006,0.03837377656827958,0.031966298016867525,0.006407478551412056,0.0015335469969177343,0.9765360527421606,0.12713399099853834,0.019750748434639455
disturbance_burst,6.000000000000007,0.03805673108270717,0.03166491644079815,0.006391814641909022,0.0015040164306775118,0.9758858987282801,0.12764097347314154,0.029925891637253045
actuator_delay+disturbance_burst,-1.5,0.01934831386308714,0.021092034555623827,-0.0017437206925366884,0.0013421825915962721,0.9747798045360913,0.14631579583119522,0.010052803732902753
actuator_delay+disturbance_burst,-1.45,0.019498470149455025,0.021274400369709182,-0.0017759302202541571,0.0012919987987162766,0.9722655469126934,0.14937814096637578,0.01190015051707215
actuator_delay+disturbance_burst,-1.4,0.019695426809341405,0.021434560656172972,-0.001739133846831567,0.001208064501343758,0.9713950354073883,0.15174957234116285,0.012944192381879955
actuator_delay+disturbance_burst,-1.3499999999999999,0.019941008708300213,0.021626101325508084,-0.0016850926172078708,0.0011510794181184127,0.9702840943597748,0.15413805395465394,0.014744006744353217
